date,transaction_id,description,category,type,amount,balance
2022-10-22,TX00354,Daily Sales Deposit,Sales Revenue,Credit,861,222679
2022-10-23,TX00355,Daily Sales Deposit,Sales Revenue,Credit,958,223637
2022-10-24,TX00356,Daily Sales Deposit,Sales Revenue,Credit,967,224604
2022-10-25,TX00357,Daily Sales Deposit,Sales Revenue,Credit,935,225539
2022-10-26,TX00358,Daily Sales Deposit,Sales Revenue,Credit,921,226460
2022-10-27,TX00359,Daily Sales Deposit,Sales Revenue,Credit,1100,227560
2022-10-27,TX00360,Maintenance Payment,Operating Expense,Debit,402,227158
2022-10-28,TX00361,Daily Sales Deposit,Sales Revenue,Credit,1040,228198
2022-10-29,TX00362,Daily Sales Deposit,Sales Revenue,Credit,774,228972
2022-10-30,TX00363,Daily Sales Deposit,Sales Revenue,Credit,1121,230093
2022-10-31,TX00364,Daily Sales Deposit,Sales Revenue,Credit,925,231018
2022-11-01,TX00365,Daily Sales Deposit,Sales Revenue,Credit,797,231815
2022-11-02,TX00366,Daily Sales Deposit,Sales Revenue,Credit,1034,232849
2022-11-03,TX00367,Daily Sales Deposit,Sales Revenue,Credit,1146,233995
2022-11-04,TX00368,Daily Sales Deposit,Sales Revenue,Credit,948,234943
2022-11-05,TX00369,Daily Sales Deposit,Sales Revenue,Credit,1171,236114
2022-11-06,TX00370,Daily Sales Deposit,Sales Revenue,Credit,729,236843
2022-11-07,TX00371,Daily Sales Deposit,Sales Revenue,Credit,750,237593
2022-11-08,TX00372,Daily Sales Deposit,Sales Revenue,Credit,984,238577
2022-11-08,TX00373,Bakery Payment,COGS,Debit,283,238294
2022-11-09,TX00374,Daily Sales Deposit,Sales Revenue,Credit,1029,239323
2022-11-10,TX00375,Daily Sales Deposit,Sales Revenue,Credit,1039,240362
2022-11-11,TX00376,Daily Sales Deposit,Sales Revenue,Credit,733,241095
2022-11-12,TX00377,Daily Sales Deposit,Sales Revenue,Credit,1149,242244
2022-11-13,TX00378,Daily Sales Deposit,Sales Revenue,Credit,934,243178
2022-11-14,TX00379,Daily Sales Deposit,Sales Revenue,Credit,1158,244336
2022-11-14,TX00380,Utility Bill Payment,Operating Expense,Debit,348,243988
2022-11-15,TX00381,Daily Sales Deposit,Sales Revenue,Credit,1073,245061
2022-11-16,TX00382,Daily Sales Deposit,Sales Revenue,Credit,1087,246148
2022-11-16,TX00383,Bakery Payment,COGS,Debit,283,245865
2022-11-17,TX00384,Daily Sales Deposit,Sales Revenue,Credit,894,246759
2022-11-18,TX00385,Daily Sales Deposit,Sales Revenue,Credit,854,247613
2022-11-19,TX00386,Daily Sales Deposit,Sales Revenue,Credit,1133,248746
2022-11-20,TX00387,Daily Sales Deposit,Sales Revenue,Credit,750,249496
2022-11-20,TX00388,Coffee Supplier Payment,COGS,Debit,104,249392
2022-11-21,TX00389,Daily Sales Deposit,Sales Revenue,Credit,791,250183
2022-11-22,TX00390,Daily Sales Deposit,Sales Revenue,Credit,721,250904
2022-11-22,TX00391,Maintenance Payment,Operating Expense,Debit,100,250804
2022-11-23,TX00392,Daily Sales Deposit,Sales Revenue,Credit,932,251736
2022-11-24,TX00393,Daily Sales Deposit,Sales Revenue,Credit,745,252481
2022-11-25,TX00394,Daily Sales Deposit,Sales Revenue,Credit,777,253258
2022-11-26,TX00395,Daily Sales Deposit,Sales Revenue,Credit,1110,254368
2022-11-26,TX00396,Bakery Payment,COGS,Debit,348,254020
2022-11-27,TX00397,Daily Sales Deposit,Sales Revenue,Credit,913,254933
2022-11-27,TX00398,Utility Bill Payment,Operating Expense,Debit,449,254484
2022-11-28,TX00399,Daily Sales Deposit,Sales Revenue,Credit,1018,255502
2022-11-29,TX00400,Daily Sales Deposit,Sales Revenue,Credit,1036,256538
2022-11-30,TX00401,Daily Sales Deposit,Sales Revenue,Credit,956,257494
2022-11-30,TX00402,Maintenance Payment,Operating Expense,Debit,454,257040
2022-12-01,TX00403,Daily Sales Deposit,Sales Revenue,Credit,879,257919
2022-12-02,TX00404,Daily Sales Deposit,Sales Revenue,Credit,826,258745
2022-12-03,TX00405,Daily Sales Deposit,Sales Revenue,Credit,713,259458
2022-12-04,TX00406,Daily Sales Deposit,Sales Revenue,Credit,1170,260628
2022-12-05,TX00407,Daily Sales Deposit,Sales Revenue,Credit,1085,261713
2022-12-06,TX00408,Daily Sales Deposit,Sales Revenue,Credit,713,262426
2022-12-06,TX00409,Utility Bill Payment,Operating Expense,Debit,470,261956
2022-12-07,TX00410,Daily Sales Deposit,Sales Revenue,Credit,810,262766
2022-12-08,TX00411,Daily Sales Deposit,Sales Revenue,Credit,1062,263828
2022-12-09,TX00412,Daily Sales Deposit,Sales Revenue,Credit,1192,265020
2022-12-10,TX00413,Daily Sales Deposit,Sales Revenue,Credit,993,266013
2022-12-11,TX00414,Daily Sales Deposit,Sales Revenue,Credit,714,266727
2022-12-11,TX00415,Maintenance Payment,Operating Expense,Debit,218,266509
2022-12-12,TX00416,Daily Sales Deposit,Sales Revenue,Credit,727,267236
2022-12-12,TX00417,Coffee Supplier Payment,COGS,Debit,372,266864
2022-12-13,TX00418,Daily Sales Deposit,Sales Revenue,Credit,825,267689
2022-12-13,TX00419,Maintenance Payment,Operating Expense,Debit,244,267445
2022-12-14,TX00420,Daily Sales Deposit,Sales Revenue,Credit,911,268356
2022-12-15,TX00421,Daily Sales Deposit,Sales Revenue,Credit,1093,269449
2022-12-16,TX00422,Daily Sales Deposit,Sales Revenue,Credit,808,270257
2022-12-17,TX00423,Daily Sales Deposit,Sales Revenue,Credit,927,271184
2022-12-18,TX00424,Daily Sales Deposit,Sales Revenue,Credit,733,271917
2022-12-19,TX00425,Daily Sales Deposit,Sales Revenue,Credit,1123,273040
2022-12-20,TX00426,Daily Sales Deposit,Sales Revenue,Credit,782,273822
2022-12-21,TX00427,Daily Sales Deposit,Sales Revenue,Credit,800,274622
2022-12-22,TX00428,Daily Sales Deposit,Sales Revenue,Credit,981,275603
2022-12-23,TX00429,Daily Sales Deposit,Sales Revenue,Credit,1142,276745
2022-12-24,TX00430,Daily Sales Deposit,Sales Revenue,Credit,1064,277809
2022-12-25,TX00431,Daily Sales Deposit,Sales Revenue,Credit,1076,278885
2022-12-26,TX00432,Daily Sales Deposit,Sales Revenue,Credit,849,279734
2022-12-27,TX00433,Daily Sales Deposit,Sales Revenue,Credit,769,280503
2022-12-28,TX00434,Daily Sales Deposit,Sales Revenue,Credit,703,281206
2022-12-29,TX00435,Daily Sales Deposit,Sales Revenue,Credit,1145,282351
2022-12-30,TX00436,Daily Sales Deposit,Sales Revenue,Credit,794,283145
2022-12-30,TX00437,Utility Bill Payment,Operating Expense,Debit,236,282909
2022-12-31,TX00438,Daily Sales Deposit,Sales Revenue,Credit,942,283851
2022-12-31,TX00439,Rent Payment,Operating Expense,Debit,328,283523
2023-01-01,TX00440,Daily Sales Deposit,Sales Revenue,Credit,1107,284630
2023-01-01,TX00441,Rent Payment,Operating Expense,Debit,421,284209
2023-01-02,TX00442,Daily Sales Deposit,Sales Revenue,Credit,919,285128
2023-01-03,TX00443,Daily Sales Deposit,Sales Revenue,Credit,1034,286162
2023-01-04,TX00444,Daily Sales Deposit,Sales Revenue,Credit,1068,287230
2023-01-05,TX00445,Daily Sales Deposit,Sales Revenue,Credit,1185,288415
2023-01-06,TX00446,Daily Sales Deposit,Sales Revenue,Credit,1140,289555
2023-01-07,TX00447,Daily Sales Deposit,Sales Revenue,Credit,902,290457
2023-01-08,TX00448,Daily Sales Deposit,Sales Revenue,Credit,1134,291591
2023-01-09,TX00449,Daily Sales Deposit,Sales Revenue,Credit,832,292423
2023-01-09,TX00450,Rent Payment,Operating Expense,Debit,217,292206
2023-01-10,TX00451,Daily Sales Deposit,Sales Revenue,Credit,974,293180
2023-01-10,TX00452,Bakery Payment,COGS,Debit,119,293061
2023-01-11,TX00453,Daily Sales Deposit,Sales Revenue,Credit,839,293900
2023-01-11,TX00454,Maintenance Payment,Operating Expense,Debit,189,293711
2023-01-12,TX00455,Daily Sales Deposit,Sales Revenue,Credit,1081,294792
2023-01-12,TX00456,Maintenance Payment,Operating Expense,Debit,455,294337
2023-01-13,TX00457,Daily Sales Deposit,Sales Revenue,Credit,1190,295527
2023-01-14,TX00458,Daily Sales Deposit,Sales Revenue,Credit,1089,296616
2023-01-15,TX00459,Daily Sales Deposit,Sales Revenue,Credit,709,297325
2023-01-16,TX00460,Daily Sales Deposit,Sales Revenue,Credit,837,298162
2023-01-17,TX00461,Daily Sales Deposit,Sales Revenue,Credit,712,298874
2023-01-18,TX00462,Daily Sales Deposit,Sales Revenue,Credit,783,299657
2023-01-19,TX00463,Daily Sales Deposit,Sales Revenue,Credit,800,300457
2023-01-19,TX00464,Utility Bill Payment,Operating Expense,Debit,364,300093
2023-01-20,TX00465,Daily Sales Deposit,Sales Revenue,Credit,1098,301191
2023-01-21,TX00466,Daily Sales Deposit,Sales Revenue,Credit,1118,302309
2023-01-22,TX00467,Daily Sales Deposit,Sales Revenue,Credit,1004,303313
2023-01-23,TX00468,Daily Sales Deposit,Sales Revenue,Credit,1143,304456
2023-01-24,TX00469,Daily Sales Deposit,Sales Revenue,Credit,1033,305489
2023-01-25,TX00470,Daily Sales Deposit,Sales Revenue,Credit,1158,306647
2023-01-26,TX00471,Daily Sales Deposit,Sales Revenue,Credit,775,307422
2023-01-27,TX00472,Daily Sales Deposit,Sales Revenue,Credit,700,308122
2023-01-28,TX00473,Daily Sales Deposit,Sales Revenue,Credit,1105,309227
2023-01-28,TX00474,Utility Bill Payment,Operating Expense,Debit,448,308779
2023-01-29,TX00475,Daily Sales Deposit,Sales Revenue,Credit,1060,309839
2023-01-30,TX00476,Daily Sales Deposit,Sales Revenue,Credit,1015,310854
2023-01-30,TX00477,Maintenance Payment,Operating Expense,Debit,312,310542
2023-01-31,TX00478,Daily Sales Deposit,Sales Revenue,Credit,704,311246
2023-02-01,TX00479,Daily Sales Deposit,Sales Revenue,Credit,777,312023
2023-02-02,TX00480,Daily Sales Deposit,Sales Revenue,Credit,831,312854
2023-02-03,TX00481,Daily Sales Deposit,Sales Revenue,Credit,741,313595
2023-02-04,TX00482,Daily Sales Deposit,Sales Revenue,Credit,995,314590
2023-02-05,TX00483,Daily Sales Deposit,Sales Revenue,Credit,803,315393
2023-02-06,TX00484,Daily Sales Deposit,Sales Revenue,Credit,878,316271
2023-02-07,TX00485,Daily Sales Deposit,Sales Revenue,Credit,1052,317323
2023-02-08,TX00486,Daily Sales Deposit,Sales Revenue,Credit,842,318165
2023-02-09,TX00487,Daily Sales Deposit,Sales Revenue,Credit,844,319009
2023-02-10,TX00488,Daily Sales Deposit,Sales Revenue,Credit,1149,320158
2023-02-11,TX00489,Daily Sales Deposit,Sales Revenue,Credit,803,320961
2023-02-12,TX00490,Daily Sales Deposit,Sales Revenue,Credit,738,321699
2023-02-12,TX00491,Utility Bill Payment,Operating Expense,Debit,233,321466
2023-02-13,TX00492,Daily Sales Deposit,Sales Revenue,Credit,1090,322556
2023-02-14,TX00493,Daily Sales Deposit,Sales Revenue,Credit,741,323297
2023-02-14,TX00494,Maintenance Payment,Operating Expense,Debit,114,323183
2023-02-15,TX00495,Daily Sales Deposit,Sales Revenue,Credit,988,324171
2023-02-16,TX00496,Daily Sales Deposit,Sales Revenue,Credit,930,325101
2023-02-17,TX00497,Daily Sales Deposit,Sales Revenue,Credit,856,325957
2023-02-17,TX00498,Maintenance Payment,Operating Expense,Debit,196,325761
2023-02-18,TX00499,Daily Sales Deposit,Sales Revenue,Credit,1184,326945
2023-02-19,TX00500,Daily Sales Deposit,Sales Revenue,Credit,988,327933
2023-02-19,TX00501,Coffee Supplier Payment,COGS,Debit,185,327748
2023-02-20,TX00502,Daily Sales Deposit,Sales Revenue,Credit,709,328457
2023-02-21,TX00503,Daily Sales Deposit,Sales Revenue,Credit,1029,329486
2023-02-22,TX00504,Daily Sales Deposit,Sales Revenue,Credit,993,330479
2023-02-23,TX00505,Daily Sales Deposit,Sales Revenue,Credit,1002,331481
2023-02-24,TX00506,Daily Sales Deposit,Sales Revenue,Credit,915,332396
2023-02-25,TX00507,Daily Sales Deposit,Sales Revenue,Credit,714,333110
2023-02-26,TX00508,Daily Sales Deposit,Sales Revenue,Credit,960,334070
2023-02-27,TX00509,Daily Sales Deposit,Sales Revenue,Credit,1023,335093
2023-02-28,TX00510,Daily Sales Deposit,Sales Revenue,Credit,829,335922
2023-02-28,TX00511,Utility Bill Payment,Operating Expense,Debit,214,335708
2023-03-01,TX00512,Daily Sales Deposit,Sales Revenue,Credit,691,336399
2023-03-02,TX00513,Daily Sales Deposit,Sales Revenue,Credit,682,337081
2023-03-03,TX00514,Daily Sales Deposit,Sales Revenue,Credit,410,337491
2023-03-04,TX00515,Daily Sales Deposit,Sales Revenue,Credit,759,338250
2023-03-05,TX00516,Daily Sales Deposit,Sales Revenue,Credit,599,338849
2023-03-06,TX00517,Daily Sales Deposit,Sales Revenue,Credit,745,339594
2023-03-07,TX00518,Daily Sales Deposit,Sales Revenue,Credit,795,340389
2023-03-08,TX00519,Daily Sales Deposit,Sales Revenue,Credit,503,340892
2023-03-09,TX00520,Daily Sales Deposit,Sales Revenue,Credit,510,341402
2023-03-10,TX00521,Daily Sales Deposit,Sales Revenue,Credit,570,341972
2023-03-11,TX00522,Daily Sales Deposit,Sales Revenue,Credit,755,342727
2023-03-12,TX00523,Daily Sales Deposit,Sales Revenue,Credit,532,343259
2023-03-13,TX00524,Daily Sales Deposit,Sales Revenue,Credit,727,343986
2023-03-14,TX00525,Daily Sales Deposit,Sales Revenue,Credit,491,344477
2023-03-15,TX00526,Daily Sales Deposit,Sales Revenue,Credit,792,345269
2023-03-16,TX00527,Daily Sales Deposit,Sales Revenue,Credit,428,345697
2023-03-16,TX00528,Utility Bill Payment,Operating Expense,Debit,396,345301
2023-03-17,TX00529,Daily Sales Deposit,Sales Revenue,Credit,656,345957
2023-03-17,TX00530,Rent Payment,Operating Expense,Debit,445,345512
2023-03-18,TX00531,Daily Sales Deposit,Sales Revenue,Credit,581,346093
2023-03-19,TX00532,Daily Sales Deposit,Sales Revenue,Credit,400,346493
2023-03-20,TX00533,Daily Sales Deposit,Sales Revenue,Credit,454,346947
2023-03-21,TX00534,Daily Sales Deposit,Sales Revenue,Credit,798,347745
2023-03-22,TX00535,Daily Sales Deposit,Sales Revenue,Credit,708,348453
2023-03-23,TX00536,Daily Sales Deposit,Sales Revenue,Credit,712,349165
2023-03-23,TX00537,Rent Payment,Operating Expense,Debit,390,348775
2023-03-24,TX00538,Daily Sales Deposit,Sales Revenue,Credit,424,349199
2023-03-25,TX00539,Daily Sales Deposit,Sales Revenue,Credit,693,349892
2023-03-26,TX00540,Daily Sales Deposit,Sales Revenue,Credit,609,350501
2023-03-27,TX00541,Daily Sales Deposit,Sales Revenue,Credit,746,351247
2023-03-28,TX00542,Daily Sales Deposit,Sales Revenue,Credit,763,352010
2023-03-29,TX00543,Daily Sales Deposit,Sales Revenue,Credit,581,352591
2023-03-29,TX00544,Maintenance Payment,Operating Expense,Debit,279,352312
2023-03-30,TX00545,Daily Sales Deposit,Sales Revenue,Credit,743,353055
2023-03-31,TX00546,Daily Sales Deposit,Sales Revenue,Credit,684,353739
2023-04-01,TX00547,Daily Sales Deposit,Sales Revenue,Credit,549,354288
2023-04-02,TX00548,Daily Sales Deposit,Sales Revenue,Credit,769,355057
2023-04-03,TX00549,Daily Sales Deposit,Sales Revenue,Credit,736,355793
2023-04-04,TX00550,Daily Sales Deposit,Sales Revenue,Credit,576,356369
2023-04-05,TX00551,Daily Sales Deposit,Sales Revenue,Credit,741,357110
2023-04-05,TX00552,Bakery Payment,COGS,Debit,288,356822
2023-04-06,TX00553,Daily Sales Deposit,Sales Revenue,Credit,726,357548
2023-04-07,TX00554,Daily Sales Deposit,Sales Revenue,Credit,540,358088
2023-04-08,TX00555,Daily Sales Deposit,Sales Revenue,Credit,778,358866
2023-04-09,TX00556,Daily Sales Deposit,Sales Revenue,Credit,717,359583
2023-04-10,TX00557,Daily Sales Deposit,Sales Revenue,Credit,684,360267
2023-04-11,TX00558,Daily Sales Deposit,Sales Revenue,Credit,685,360952
2023-04-12,TX00559,Daily Sales Deposit,Sales Revenue,Credit,418,361370
2023-04-12,TX00560,Utility Bill Payment,Operating Expense,Debit,177,361193
2023-04-13,TX00561,Daily Sales Deposit,Sales Revenue,Credit,574,361767
2023-04-14,TX00562,Daily Sales Deposit,Sales Revenue,Credit,512,362279
2023-04-15,TX00563,Daily Sales Deposit,Sales Revenue,Credit,565,362844
2023-04-16,TX00564,Daily Sales Deposit,Sales Revenue,Credit,531,363375
2023-04-16,TX00565,Utility Bill Payment,Operating Expense,Debit,154,363221
2023-04-17,TX00566,Daily Sales Deposit,Sales Revenue,Credit,687,363908
2023-04-18,TX00567,Daily Sales Deposit,Sales Revenue,Credit,765,364673
2023-04-19,TX00568,Daily Sales Deposit,Sales Revenue,Credit,486,365159
2023-04-20,TX00569,Daily Sales Deposit,Sales Revenue,Credit,687,365846
2023-04-21,TX00570,Daily Sales Deposit,Sales Revenue,Credit,748,366594
2023-04-22,TX00571,Daily Sales Deposit,Sales Revenue,Credit,712,367306
2023-04-23,TX00572,Daily Sales Deposit,Sales Revenue,Credit,654,367960
2023-04-23,TX00573,Bakery Payment,COGS,Debit,153,367807
2023-04-24,TX00574,Daily Sales Deposit,Sales Revenue,Credit,638,368445
2023-04-25,TX00575,Daily Sales Deposit,Sales Revenue,Credit,450,368895
2023-04-26,TX00576,Daily Sales Deposit,Sales Revenue,Credit,663,369558
2023-04-26,TX00577,Utility Bill Payment,Operating Expense,Debit,195,369363
2023-04-27,TX00578,Daily Sales Deposit,Sales Revenue,Credit,799,370162
2023-04-28,TX00579,Daily Sales Deposit,Sales Revenue,Credit,564,370726
2023-04-28,TX00580,Coffee Supplier Payment,COGS,Debit,497,370229
2023-04-29,TX00581,Daily Sales Deposit,Sales Revenue,Credit,406,370635
2023-04-30,TX00582,Daily Sales Deposit,Sales Revenue,Credit,560,371195
2023-05-01,TX00583,Daily Sales Deposit,Sales Revenue,Credit,546,371741
2023-05-01,TX00584,Maintenance Payment,Operating Expense,Debit,135,371606
2023-05-02,TX00585,Daily Sales Deposit,Sales Revenue,Credit,587,372193
2023-05-03,TX00586,Daily Sales Deposit,Sales Revenue,Credit,784,372977
2023-05-04,TX00587,Daily Sales Deposit,Sales Revenue,Credit,410,373387
2023-05-05,TX00588,Daily Sales Deposit,Sales Revenue,Credit,785,374172
2023-05-06,TX00589,Daily Sales Deposit,Sales Revenue,Credit,518,374690
2023-05-07,TX00590,Daily Sales Deposit,Sales Revenue,Credit,660,375350
2023-05-08,TX00591,Daily Sales Deposit,Sales Revenue,Credit,655,376005
2023-05-09,TX00592,Daily Sales Deposit,Sales Revenue,Credit,625,376630
2023-05-10,TX00593,Daily Sales Deposit,Sales Revenue,Credit,754,377384
2023-05-11,TX00594,Daily Sales Deposit,Sales Revenue,Credit,741,378125
2023-05-12,TX00595,Daily Sales Deposit,Sales Revenue,Credit,480,378605
2023-05-13,TX00596,Daily Sales Deposit,Sales Revenue,Credit,519,379124
2023-05-14,TX00597,Daily Sales Deposit,Sales Revenue,Credit,614,379738
2023-05-15,TX00598,Daily Sales Deposit,Sales Revenue,Credit,608,380346
2023-05-16,TX00599,Daily Sales Deposit,Sales Revenue,Credit,608,380954
2023-05-17,TX00600,Daily Sales Deposit,Sales Revenue,Credit,439,381393
2023-05-18,TX00601,Daily Sales Deposit,Sales Revenue,Credit,680,382073
2023-05-19,TX00602,Daily Sales Deposit,Sales Revenue,Credit,645,382718
2023-05-20,TX00603,Daily Sales Deposit,Sales Revenue,Credit,403,383121
2023-05-20,TX00604,Maintenance Payment,Operating Expense,Debit,128,382993
2023-05-21,TX00605,Daily Sales Deposit,Sales Revenue,Credit,497,383490
2023-05-22,TX00606,Daily Sales Deposit,Sales Revenue,Credit,474,383964
2023-05-23,TX00607,Daily Sales Deposit,Sales Revenue,Credit,527,384491
2023-05-23,TX00608,Bakery Payment,COGS,Debit,455,384036
2023-05-24,TX00609,Daily Sales Deposit,Sales Revenue,Credit,433,384469
2023-05-25,TX00610,Daily Sales Deposit,Sales Revenue,Credit,552,385021
2023-05-26,TX00611,Daily Sales Deposit,Sales Revenue,Credit,475,385496
2023-05-27,TX00612,Daily Sales Deposit,Sales Revenue,Credit,761,386257
2023-05-27,TX00613,Bakery Payment,COGS,Debit,126,386131
2023-05-28,TX00614,Daily Sales Deposit,Sales Revenue,Credit,686,386817
2023-05-29,TX00615,Daily Sales Deposit,Sales Revenue,Credit,567,387384
2023-05-30,TX00616,Daily Sales Deposit,Sales Revenue,Credit,636,388020
2023-05-31,TX00617,Daily Sales Deposit,Sales Revenue,Credit,793,388813
2023-06-01,TX00618,Daily Sales Deposit,Sales Revenue,Credit,589,389402
2023-06-02,TX00619,Daily Sales Deposit,Sales Revenue,Credit,463,389865
2023-06-03,TX00620,Daily Sales Deposit,Sales Revenue,Credit,709,390574
2023-06-04,TX00621,Daily Sales Deposit,Sales Revenue,Credit,706,391280
2023-06-04,TX00622,Coffee Supplier Payment,COGS,Debit,470,390810
2023-06-05,TX00623,Daily Sales Deposit,Sales Revenue,Credit,428,391238
2023-06-06,TX00624,Daily Sales Deposit,Sales Revenue,Credit,695,391933
2023-06-07,TX00625,Daily Sales Deposit,Sales Revenue,Credit,563,392496
2023-06-08,TX00626,Daily Sales Deposit,Sales Revenue,Credit,694,393190
2023-06-09,TX00627,Daily Sales Deposit,Sales Revenue,Credit,709,393899
2023-06-10,TX00628,Daily Sales Deposit,Sales Revenue,Credit,510,394409
2023-06-11,TX00629,Daily Sales Deposit,Sales Revenue,Credit,468,394877
2023-06-12,TX00630,Daily Sales Deposit,Sales Revenue,Credit,649,395526
2023-06-12,TX00631,Utility Bill Payment,Operating Expense,Debit,247,395279
2023-06-13,TX00632,Daily Sales Deposit,Sales Revenue,Credit,626,395905
2023-06-14,TX00633,Daily Sales Deposit,Sales Revenue,Credit,736,396641
2023-06-15,TX00634,Daily Sales Deposit,Sales Revenue,Credit,764,397405
2023-06-15,TX00635,Coffee Supplier Payment,COGS,Debit,300,397105
2023-06-16,TX00636,Daily Sales Deposit,Sales Revenue,Credit,472,397577
2023-06-16,TX00637,Bakery Payment,COGS,Debit,116,397461
2023-06-17,TX00638,Daily Sales Deposit,Sales Revenue,Credit,616,398077
2023-06-18,TX00639,Daily Sales Deposit,Sales Revenue,Credit,503,398580
2023-06-19,TX00640,Daily Sales Deposit,Sales Revenue,Credit,438,399018
2023-06-19,TX00641,Rent Payment,Operating Expense,Debit,328,398690
2023-06-20,TX00642,Daily Sales Deposit,Sales Revenue,Credit,571,399261
2023-06-21,TX00643,Daily Sales Deposit,Sales Revenue,Credit,501,399762
2023-06-22,TX00644,Daily Sales Deposit,Sales Revenue,Credit,674,400436
2023-06-23,TX00645,Daily Sales Deposit,Sales Revenue,Credit,704,401140
2023-06-23,TX00646,Bakery Payment,COGS,Debit,429,400711
2023-06-24,TX00647,Daily Sales Deposit,Sales Revenue,Credit,710,401421
2023-06-25,TX00648,Daily Sales Deposit,Sales Revenue,Credit,411,401832
2023-06-26,TX00649,Daily Sales Deposit,Sales Revenue,Credit,615,402447
2023-06-27,TX00650,Daily Sales Deposit,Sales Revenue,Credit,548,402995
2023-06-28,TX00651,Daily Sales Deposit,Sales Revenue,Credit,773,403768
2023-06-29,TX00652,Daily Sales Deposit,Sales Revenue,Credit,599,404367
2023-06-30,TX00653,Daily Sales Deposit,Sales Revenue,Credit,488,404855
2023-07-01,TX00654,Daily Sales Deposit,Sales Revenue,Credit,558,405413
2023-07-02,TX00655,Daily Sales Deposit,Sales Revenue,Credit,864,406277
2023-07-03,TX00656,Daily Sales Deposit,Sales Revenue,Credit,787,407064
2023-07-04,TX00657,Daily Sales Deposit,Sales Revenue,Credit,698,407762
2023-07-05,TX00658,Daily Sales Deposit,Sales Revenue,Credit,781,408543
2023-07-06,TX00659,Daily Sales Deposit,Sales Revenue,Credit,749,409292
2023-07-07,TX00660,Daily Sales Deposit,Sales Revenue,Credit,834,410126
2023-07-08,TX00661,Daily Sales Deposit,Sales Revenue,Credit,636,410762
2023-07-08,TX00662,Coffee Supplier Payment,COGS,Debit,427,410335
2023-07-09,TX00663,Daily Sales Deposit,Sales Revenue,Credit,814,411149
2023-07-10,TX00664,Daily Sales Deposit,Sales Revenue,Credit,581,411730
2023-07-11,TX00665,Daily Sales Deposit,Sales Revenue,Credit,871,412601
2023-07-12,TX00666,Daily Sales Deposit,Sales Revenue,Credit,901,413502
2023-07-13,TX00667,Daily Sales Deposit,Sales Revenue,Credit,602,414104
2023-07-13,TX00668,Utility Bill Payment,Operating Expense,Debit,258,413846
2023-07-14,TX00669,Daily Sales Deposit,Sales Revenue,Credit,607,414453
2023-07-14,TX00670,Utility Bill Payment,Operating Expense,Debit,197,414256
2023-07-15,TX00671,Daily Sales Deposit,Sales Revenue,Credit,792,415048
2023-07-16,TX00672,Daily Sales Deposit,Sales Revenue,Credit,973,416021
2023-07-17,TX00673,Daily Sales Deposit,Sales Revenue,Credit,863,416884
2023-07-18,TX00674,Daily Sales Deposit,Sales Revenue,Credit,875,417759
2023-07-19,TX00675,Daily Sales Deposit,Sales Revenue,Credit,848,418607
2023-07-20,TX00676,Daily Sales Deposit,Sales Revenue,Credit,896,419503
2023-07-21,TX00677,Daily Sales Deposit,Sales Revenue,Credit,515,420018
2023-07-22,TX00678,Daily Sales Deposit,Sales Revenue,Credit,607,420625
2023-07-23,TX00679,Daily Sales Deposit,Sales Revenue,Credit,810,421435
2023-07-24,TX00680,Daily Sales Deposit,Sales Revenue,Credit,533,421968
2023-07-24,TX00681,Maintenance Payment,Operating Expense,Debit,346,421622
2023-07-25,TX00682,Daily Sales Deposit,Sales Revenue,Credit,640,422262
2023-07-26,TX00683,Daily Sales Deposit,Sales Revenue,Credit,595,422857
2023-07-27,TX00684,Daily Sales Deposit,Sales Revenue,Credit,538,423395
2023-07-27,TX00685,Bakery Payment,COGS,Debit,128,423267
2023-07-28,TX00686,Daily Sales Deposit,Sales Revenue,Credit,976,424243
2023-07-28,TX00687,Bakery Payment,COGS,Debit,335,423908
2023-07-29,TX00688,Daily Sales Deposit,Sales Revenue,Credit,771,424679
2023-07-30,TX00689,Daily Sales Deposit,Sales Revenue,Credit,738,425417
2023-07-31,TX00690,Daily Sales Deposit,Sales Revenue,Credit,913,426330
2023-08-01,TX00691,Daily Sales Deposit,Sales Revenue,Credit,858,427188
2023-08-02,TX00692,Daily Sales Deposit,Sales Revenue,Credit,564,427752
2023-08-03,TX00693,Daily Sales Deposit,Sales Revenue,Credit,502,428254
2023-08-04,TX00694,Daily Sales Deposit,Sales Revenue,Credit,875,429129
2023-08-05,TX00695,Daily Sales Deposit,Sales Revenue,Credit,823,429952
2023-08-06,TX00696,Daily Sales Deposit,Sales Revenue,Credit,792,430744
2023-08-06,TX00697,Maintenance Payment,Operating Expense,Debit,292,430452
2023-08-07,TX00698,Daily Sales Deposit,Sales Revenue,Credit,993,431445
2023-08-07,TX00699,Bakery Payment,COGS,Debit,498,430947
2023-08-08,TX00700,Daily Sales Deposit,Sales Revenue,Credit,876,431823
2023-08-09,TX00701,Daily Sales Deposit,Sales Revenue,Credit,639,432462
2023-08-10,TX00702,Daily Sales Deposit,Sales Revenue,Credit,792,433254
2023-08-11,TX00703,Daily Sales Deposit,Sales Revenue,Credit,926,434180
2023-08-12,TX00704,Daily Sales Deposit,Sales Revenue,Credit,794,434974
2023-08-13,TX00705,Daily Sales Deposit,Sales Revenue,Credit,801,435775
2023-08-14,TX00706,Daily Sales Deposit,Sales Revenue,Credit,561,436336
